dosef,energy,natom,mass,fmax,smax,hform,volume,gap_nosoc,gap
0.0,-13.58198105,4,279.8564,0.007038859,7.93e-05,0.063504738,380.9098577,0.967953153,0.961595225
0.0,-14.78038301,4,458.053138,0.003891336,0.00022872,-0.091095753,387.3227331,1.282603342,1.217788998
0.0,-13.68847294,4,551.875138,0.009050766,0.000198743,-0.115618235,414.2492295,1.18779398,0.956756791
0.0,-8.32362832,2,101.9031335,7.22e-14,6.85e-05,0.03868584,218.1541676,1.239192846,1.237286521
0.0,-7.551540269,2,148.7415385,0.003253097,2.02e-05,0.296229866,261.1305157,1.459350749,1.453232771
0.0,-12.1280051,2,41.783762,7.12e-14,0.000134977,-0.029002552,134.340321,0.898356271,0.898202962
0.0,-7.43983724,2,144.644595,0.002457814,2.96e-05,0.06308138,222.8699666,1.099156618,1.093558343
0.0,-11.26193753,2,83.73,8.38e-14,0.000669791,-0.002968766,138.7728406,1.877937453,1.876537981
0.0,-8.163992128,2,100.696762,0.004929844,2.71e-05,0.052003936,206.0337368,1.586441923,1.583246966
0.0,-11.49375336,2,88.629,0.003737307,0.000131381,-0.926876679,125.5525514,2.084307265,2.079948512
0.0,-9.043473802,2,104.69,0.003691111,0.000107471,-0.224736901,172.4031733,2.473184071,2.446749443
0.0,-8.379659036,2,151.601,0.001771632,1.33e-05,-0.190329518,191.4289918,2.287149595,2.219145588
0.0,-7.733100037,2,200.23,0.008620717,5.36e-05,-0.006050018,222.9385608,1.795427946,1.467633478
0.0,-7.756570662,2,145.791762,0.000825699,3.24e-05,0.185714669,238.4293531,1.07402767,1.063679713
0.0,-10.56814465,2,223.199,0.001641062,0.000173099,-0.842572327,178.0156472,1.869946998,1.700188197
0.0,-8.52431194,2,239.26,0.007694068,9.61e-05,-0.34365597,221.8913278,2.087750759,1.833015657
0.0,-7.981909308,2,286.171,0.006858685,5.55e-05,-0.369954654,238.1044563,1.91529182,1.517935993
0.0,-7.41686496,2,334.8,0.00709536,5.4e-05,-0.22643248,269.8996333,1.666777076,0.910058739
0.0,-11.13475056,2,134.709,0.009780658,0.000174275,-0.97737528,154.8669251,1.679718424,1.674538832
0.0,-8.817616218,2,150.77,0.007533317,5.37e-05,-0.341808109,200.6233715,2.313442582,2.287925386
0.0,-8.207875735,2,197.681,0.009203418,3.34e-05,-0.334437868,218.8291101,2.229408636,2.151801719
0.0,-7.580468192,2,246.31,0.009639532,4.16e-05,-0.159734096,251.515183,1.906419725,1.55758105
0.0,-11.09415776,3,186.885595,0.00942554,0.000119233,-0.256052588,233.3713394,1.459698552,1.387317362
0.0,-11.58234905,3,142.431595,0.007404695,0.000120693,-0.352116349,225.031106,1.556410116,1.535124659
0.0,-10.61383063,3,233.796595,0.002281241,2.34e-05,-0.294276877,245.9204098,1.287627616,1.228199692
0.0,-11.07629442,3,189.342595,0.006711246,6.55e-05,-0.381764808,238.2868951,1.45244217,1.37370083
0.0,-10.10363302,3,280.797065,0.00543373,8.61e-05,-0.159877675,261.3883061,1.330276532,1.152030854
0.0,-10.54216341,3,233.886065,0.003926133,8.58e-05,-0.107721136,249.4959347,1.608009065,1.337549698
0.0,-10.18612706,3,282.425595,0.002741156,4.04e-05,-0.244375687,267.8194595,1.404818802,1.237800322
0.0,-10.61836226,3,237.971595,0.006226213,5.31e-05,-0.321787419,260.7656816,1.667628434,1.478980538
0.0,-9.718046895,3,329.426065,0.005919638,3.09e-05,-0.124015632,282.1772076,1.253415754,0.983807626
0.0,-12.00877035,3,320.9444,0.00723769,9.05e-05,-0.557256784,284.8881611,1.759691078,0.929477414
0.0,-12.51150148,3,276.4904,0.009248264,0.000185192,-0.658167159,279.4971177,1.779984755,1.037662199
0.0,-11.98504958,3,323.4014,0.004504115,5.99e-05,-0.681016527,290.2903907,1.64216213,0.884781349
0.0,-11.46676037,3,367.94487,0.006227065,3.33e-05,-0.412253456,296.9047809,1.923300064,0.819868117
0.0,-11.31533224,3,233.724,0.001475146,7.28e-05,-0.415444078,268.6564312,1.363864975,1.219742456
0.0,-11.80167169,3,189.27,0.005788791,0.000168889,-0.510890565,262.5326764,1.403167779,1.318255478
0.0,-10.80571664,3,280.635,0.005522269,6.72e-05,-0.443905547,280.5571812,1.191366626,1.071738666
0.0,-11.28552356,3,236.181,0.005742889,3.81e-05,-0.537174519,274.552043,1.308090703,1.17354892
